Mumbai, 2006                                                                          --- Bombaim, 2006
Jamal Malik is one question away from winning 20 million rupees.                      --- Jamal Malik encontra-se a uma pergunta de ganhar 20 milhões de rupias.
How did he do it?                                                                     --- Como é que ele conseguiu?
A: He cheated                                                                         --- A: Fez Batota
B: He's lucky                                                                         --- B: É sortudo
C: He's a genius                                                                      --- C: É um génio
D: It is written                                                                      --- D: Está escrito
Good evening!                                                                         --- Boa noite!
Welcome to "Who Wants To Be A Millionaire"!                                           --- Bem-vindos ao "Quem quer ser milionário"!
Are you ready?                                                                        --- Estás pronto?
Yes.                                                                                  --- Sim.
Please give a big round of applause to a very first contestant of the night           --- Dêem um grande aplauso ao primeiro convidado da noite
Jamal Malik from our very own Mumbay!                                                 --- Jamal Malik da nossa própria...
Hello, let's play.                                                                    --- Olá e vamos jogar.
Smile, you'll be fine.                                                                --- Sorria, vai correr bem.
Name.                                                                                 --- Nome?
Motherchud, name!                                                                     --- Motherchud, nome?
Jamal Malik.                                                                          --- Jamal Malik.
You have a name.                                                                      --- Tens um nome.
Good.                                                                                 --- Boa.
Stop crying.                                                                          --- Para de chorar.
Thank you.                                                                            --- Obrigado.
Thank you.                                                                            --- Obrigado.
Thank you very much.                                                                  --- Muito obrigado.
So, Jamal... tell me something about yourself.                                        --- Jamal... Diz-me algo sobre ti.
I work in a call-center in Juhu.                                                      --- Trabalho num call-center em Juhu.
- Good.                                                                               --- - Boa.
A phone basher..                                                                      --- Um telefonista...
And what type of call-center should that be?                                          --- E que tipo de call-center é?
XL5 mobile phones.                                                                    --- Dos telemóveis XL5.
So you are the one who calls me up every single day of my life with special offers, huh? --- Então és tu que me telefona todos os dias da minha vida com ofertas especiais, huh?
No, actually I am an assistant.                                                       --- Não. Na verdade sou um assistente
An assistant phone basher?                                                            --- Um assistente de telefonista?
And what does an assistant phone basher do exactly?                                   --- E o que faz exactamente um assistente de telefonista?
I get tea for people and...                                                           --- Eu vou buscar chá para as pessoas e...
Chaiwalla.                                                                            --- Um chaiwalla.
A chaiwalla.                                                                          --- Um chaiwalla.
Well, ladies and gentlemen,                                                           --- Senhoras e senhores,
Jamal Malik, chaiwalla from Mumbay, let's play "Who Wants To Be A Millionaire?"!      --- 
So, has he confessed yet?                                                             --- Então, ele já confessou?
Except his name I could not get anything of him.                                      --- Com a excepção do nome não consegui mais nada.
You have been here the whole bloody night, Srinivas.                                  --- Srinivas, estiveste aqui a porcaria da noite toda.
What have you been doing?                                                             --- O que é que andaste a fazer?
He's a tough guy.                                                                     --- Ele é duro.
