How you doing, Keaton?                                                                --- Como estás, Keaton?
I can't feel my legs...  Keyser.                                                      --- Não consigo sentir as pernas... Keyser.
Ready?                                                                                --- Pronto?
What time is it?                                                                      --- Que horas são?
12:30.                                                                                --- Meia-noite e meia.
It all started back in New York six weeks ago.                                        --- Tudo começou em Nova lorque, à 6 semanas atrás.
A truck loaded with stripped gun parts got jacked outside of Queens.                  --- Um camião carregado de armas foi roubado em Queens.
The driver didn't see anyone, but someone fucked up.                                  --- O motorista não viu ninguém mas alguém fez asneira.
He heard a voice.                                                                     --- Ele ouviu uma voz.
Sometimes that's all you need.                                                        --- Às vezes, é tudo o que se precisa.
-Mr. McManus?                                                                         --- Mr. McManus?
-Christ!                                                                              --- Meu Deus!
Don't you fucking guys ever sleep?                                                    --- Vocês nunca dormem?
-We have a warrant for your arrest.                                                   --- Temos um mandato para o prender.
-Fuck you, pig.                                                                       --- Vocês nunca dormem?
Todd Hockney?                                                                         --- Todd Hockney?
-Who wants to know?                                                                   --- Quem quer saber?
-New York Police Department.                                                          --- Polícia de Nova lorque.
-Shit.                                                                                --- Merda.
-Freeze!                                                                              --- 
Hold it!                                                                              --- Quieto!
Sure you brought enough guys?                                                         --- Têm a certeza que trouxeram gente suficiente?
It's quite simple:                                                                    --- É muito simples.
A restaurant that changes with the taste without losing the overall aesthetic.        --- Um restaurante que muda com o gosto... sem perder a estética no seu todo.
In other words... the atmosphere will not be painted on the walls.                    --- Por outras palavras, a atmosfera não estará pintada nas paredes.
-Let me give you an example-- -This I had to see for myself.                          --- Bem, deixe-me dar um exemplo... Isto tenho que ver com os meus próprios olhos.
David.                                                                                --- David.
-I'm in a meeting.                                                                    --- - Estou numa reunião.
-Time for another one.                                                                --- - Está na hora de outra.
Everyone, this is David Kujan.                                                        --- Cavalheiros, este é o David Kujan.
Special Agent Kujan.                                                                  --- Agente especial Kujan, Departamento de Alfândegas dos Estados Unidos.
US Customs.                                                                           --- 
These gentlemen are from the New York Police Department.                              --- Estes cavalheiros são do Departamento de Polícia de Nova lorque. Você parece estar bem, Keaton.
You look good.                                                                        --- Você parece estar bem, Keaton.
Better than I would have thought.                                                     --- Melhor do que eu podia imaginar. Algum problema, Sr. Keaton?
A small matter of a stolen truck loaded with guns.                                    --- Um pequeno problema de um camião roubado carregado de armas.
Mr. Keaton?                                                                           --- Sr. Keaton?
Will you excuse us for a moment?                                                      --- Vocês dão-me licença por um instante?
We have some questions to ask you downtown.                                           --- Temos algumas perguntas para fazer.
You'll be a while.                                                                    --- Não, não, por favor...
No.                                                                                   --- 
Please, sit down.                                                                     --- Não, não, por favor...
This is a small problem.                                                              --- Isto é... Isto é um pequeno problema.
Enjoy the meal.                                                                       --- Tenham um bom apetite.
I'll talk to you later.                                                               --- 
It didn't make sense that I'd be there.                                               --- Não fazia sentido eu estar lá.
These guys were hard-core hijackers... but there I was.                               --- Quero dizer, estes tipos eram ladrões da pesada...  Mas lá estava eu.
At that point, I wasn't scared.                                                       --- Naquela altura não estava assustado.
I knew I hadn't done anything they could do me for.                                   --- Eu sabia que não tinha feito nada para ser preso.
Besides, it was fun.                                                                  --- Além disso, era divertido.
I got to make like I was notorious.                                                   --- Quase que parecia que eu era alguém conhecido.
You all know the drill.                                                               --- Ok, vocês sabem o esquema.
When your number is called, step forward and repeat the phrase you've been given.     --- Quando o vosso número for chamado, dêem um passo em frente e repitam a frase... que lhes foi dada.
Number 1, step forward.                                                               --- Número 1... um passo em frente.
"Hand me the keys you fucking cocksucker."                                            --- Dá-me a merda da chave, meu filho da puta desgraçado!
Number 2, step forward.                                                               --- Número 2, um passo em frente.
Gimme the fuckin' keys, you fuckin' cocksucker motherfucker!                          --- Dá-me a merda da chave, meu filho da puta desgraçado!
Knock it off.                                                                         --- Volte para o lugar!
Get back. Number 3, step forward.                                                     --- 
-"Hand me the keys, you cocksucker." -In English, please.                             --- Em inglês, por favor. Como?
-Excuse me?                                                                           --- Em inglês, por favor!
-In English.                                                                          --- Em inglês, por favor!
