B                                                                                     --- " B".
A                                                                                     --- " A". Estás a divertir-te, querida?
Are you having fun, sweetheart?                                                       --- Estou.
Yes                                                                                   --- Muito bem.
I hope you're doing better than me, baby, what are you making?                        --- Espero que estejas a ir melhor do que eu, querida.
- Necklace for mom.                                                                   --- - O que estás a fazer? - Um colar para a mãe. É?
Yeah? Let me see.                                                                     --- Posso ver?
Wow.                                                                                  --- Que lindo!
Another one?                                                                          --- Outro?
Yes                                                                                   --- Sim.
Honey...                                                                              --- - Amor...
- That's two today.                                                                   --- - É o segundo de hoje. - É.
Yeah - Yeah?                                                                          --- - É. - Amor!
Honey!                                                                                --- - Sim?
Yeah Are you gonna help me get that?                                                  --- Podes atender a porta?
I thought you and I had a day off                                                     --- Achei que ias fazer um para mim.
Go wash up for dinner, pumpkin.                                                       --- - Vai lavar-te para o jantar. - OK.
- Okay. Mmm, smells nice.                                                             --- O cheiro está óptimo.
Is that take-out?                                                                     --- Compraste já feito?
Mommy, mommy                                                                          --- Mãe, mãe...
No!                                                                                   --- Não!
No, noo.                                                                              --- Não, não.
Noo Noo!                                                                              --- Não! Não!
You can't fight faith.                                                                --- Não se pode lutar contra o destino.
We gotta get the fuck out of her.                                                     --- Traz tudo e vamos embora!
What are you doing?                                                                   --- O que estás a fazer?
Come on!                                                                              --- Que foi!
Fucking stop!                                                                         --- Pára, porra! Vamos!
Let's go! Shut the fuck up!                                                           --- Cala-te, porra!
It's cool.                                                                            --- Tudo bem.
Kids like me.                                                                         --- As crianças adoram-me.
" Law abiding Citizen"                                                                --- CÓDIGO DE CONDUTA
Nick. Bringham, what's happening?                                                     --- - Bringham, qual é o problema?
Willis is a rowing buddy of mine                                                      --- O Willis é um velho amigo.
Where are we on his kids case?                                                        --- Como estamos no caso do filho dele? - Willis?
Willis?                                                                               --- - Sim.
- Yeah                                                                                --- - Arquivei.
Oh, I kicked that down the tube.                                                      --- - E porquê?
Now why did you do that? Because the case was a dog The kid was only 15 years old when he commited the murder. --- Porque o caso era porcaria, o rapaz só tinha 15 anos quando cometeu o assassínio.
So you didn't want to jeapordize your 95% conviction rate.                            --- Então não quiseste arriscar a média de condenação de 95%.
- It's actually 96%.                                                                  --- - Na verdade é 96%.
96 now?                                                                               --- - Já é 96%?
- Yes,                                                                                --- É, e pode ficar muito melhor que isso.
You know, if I didn't know any better I'd say you were gunning for my job.            --- Se não te conhecesse bem, diria que querias o meu emprego.
You do know better, and you know that I'm aiming much higher than that.               --- Tu conheces-me, e sabes que procuro algo ainda maior.
They filed a motion to dismiss, but there's no way that judge Abrams honors it.       --- Entraram com uma moção para terminar o caso, mas duvido que o Juiz Abrams a aceite.
I think that we can get him on RICO                                                   --- Vamos apanhá-los com" RICO".
All that time and that's what you come back with, Sarah?                              --- Este tempo todo e é isto que sugeres, Sarah?
You might wanna re-evaluate your research skills, what else have we got?              --- Devias reavaliar as tuas técnicas de pesquisa. - O que mais temos? - Ela está certa.
- She's right                                                                         --- - Sr. Rice?
Mr Rice?                                                                              --- - RICO foi concebida para isso.
- RICO's designed for this check out section 901 of the organized crime control act and you should let Sarah try this case, too. --- Vê a Secção 901 do Controle de Actos de Crime Organizados, devias deixar a Sarah tomar conta desse caso. Sr.
Mr Rice, last I checked I was running this room.                                      --- Rice, pelo que sei, eu mando nesta sala. Ela já fez o trabalho de base.
She's already done the leg work. I'll oversee it, Helen Keller could try this case.   --- Eu supervisiono-a, acho que ela deve ficar com o caso.
Okay boy-wonder, she fucks up it's on you.                                            --- OK, rapaz prodígio. Se ela se lixar, a culpa é tua.
( DONT FUCK IT UP)                                                                    --- Não me lixes.
" Thank you"                                                                          --- Obrigada.
Cantrell wants to see you - Alright, I'll be right there.                             --- - Cantrell quer ver-te. - Certo. Já vou.
No.                                                                                   --- Não.
Nick.                                                                                 --- Nick.
He wants to see Nick.                                                                 --- Ele quer ver o Nick.
You're still torturing Bringham?                                                      --- Ainda a torturar o Grimm?
Let's just say I'm less impressed with his Harvard degree than he is.                 --- Digamos que me decepcionei menos com o teu diploma do que ele.
We can't all have gone to Fordham.                                                    --- - Nem todos vão à Fordham.
I went to Fordham night school.                                                       --- - Fiz lá o curso nocturno.
You know what I learned at Fordham night school?                                      --- Sabes o que aprendi?
It's that law schools have nothing to do with law.                                    --- Que os cursos de Direito não têm nada a ver com Direito.
Guess you skipped the course on inter-office politics.                                --- Então não fizeste aulas de política interna.
All I need is a jury to like me, isn't that what you told me?                         --- Só preciso que o júri goste de mim, não foi o que me disseste? O Caso Shelton, como estamos?
The Shelton case, where are we? It went sideways last night.                          --- As coisas mudaram de rumo ontem.
Judge Birch.                                                                          --- Juíza Burch.
Bad news.                                                                             --- Péssimas notícias. E agora?
What now?                                                                             --- Faremos um acordo.
Let's make the deal.                                                                  --- Mataram uma rapariga, Nick.
They killed a little girl, Nick.                                                      --- - O sistema é imperfeito.
It's an imperfect system. - And we it's imperfect servants. However, you could win this case. --- - E somos funcionários imperfeitos, entretanto, podes ganhar o caso.
Can't take that chance.                                                               --- Não posso arriscar.
Some justice is better than no justice at all.                                        --- Um pouco de justiça é melhor que nenhuma justiça. - Tens de dizer isso ao marido.
You need to tell the husband. - It's part of my job.                                  --- - É parte do meu trabalho.
Good.                                                                                 --- Óptimo.
Because he is waiting for you right now.                                              --- Porque ele está à tua espera neste momento.
What?                                                                                 --- O quê?
Do you trust me?                                                                      --- Confia em mim?
Do you trust me, Clyde?                                                               --- Confia em mim, Clyde?
Yeah, of course.                                                                      --- Sim, claro.
Darby has agreed to testify against Ames.                                             --- Darby concordou em testemunhar contra Ames.
With Darbys testimony, Ames will go to death row.                                     --- Com o testemunho de Darby, Ames irá para o corredor da morte.
What about, what about Darby then?                                                    --- E o que acontece a Darby?
Darby will plead guilty to murder.                                                    --- Darby vai declarar-se culpado por homicídio.
In what degree?                                                                       --- - Em que grau? - Terceiro.
- Third.                                                                              --- E vai cumprir o quê?
He serves, what, 5 years?                                                             --- Cinco anos?
At best.                                                                              --- Na melhor das hipóteses?
I dont understand, I'm sorry.                                                         --- Não estou a entender, desculpe-me. Tivemos um contratempo, Clyde.
We had a setback, Clyde. The judge ruled that the DNA was inadmissable.               --- O juiz determinou que o DNA não pode ser usado como prova.
- What?                                                                               --- - O quê?
Exclusionary rule.                                                                    --- - Regra de exclusão.
The oposing council maneuvered.                                                       --- Manobra do outro advogado.
You said this part of the case was clear cut                                          --- Disse que esta parte do processo era simples.
We had the blood on his shirt, - It's covered under the same rule                     --- - Tinha sangue na camisa dele... - Entra na mesma regra.
What about the rest of the forensic evidence?                                         --- - E as outras evidências?
It's not conclusive, Clyde.                                                           --- - Não são conclusivas, Clyde.
Okay, thats okay.                                                                     --- Está bem, tudo bem porque eu vi.
Because I saw, I saw their faces                                                      --- Vi o rosto deles. Eu vi-os a fazer aquilo.
I saw them do it. I mean they killed my little girl, Nick.                            --- Mataram minha menina, Nick.
You blacked out, Clyde.                                                               --- Estava semi-consciente.
Your testimony won't be reliable. you get on the stand and the defense will tear you apart. --- Seu depoimento não será confiável. Se depuser, os advogados darão cabo de si
No no, the jury is going to believe me, though, because its the truth.                --- Mas o júri acreditará em mim! Porque é a verdade! Podemos vencer...
We can win We can lose.                                                               --- Podemos perder!
And then we have nothing.                                                             --- E não teremos nada!
You would have wasted a whole year, spent millions of dollars, and then both of them can end up going free. --- Teria desperdiçado 1 ano, milhões de dólares, e os dois podem ficar livres.
Both of them are guilty, especially Darby.                                            --- Os dois são culpados, principalmente o Darby!
You know that.                                                                        --- Sabe disso!
It's not what you know, Clyde, its what you can prove in court.                       --- Não é o que se sabe, Clyde, é o que pode provar no tribunal!
Please dont make a deal with them.                                                    --- Por favor, não faça acordo com eles.
Please don't make a deal - I'm sorry, the deal is done.                               --- - Por favor, não faça. - Lamento, o acordo está feito.
I'm sorry.                                                                            --- Lamento.
I made the deal.                                                                      --- - Fiz o acordo. - O quê?
- What?                                                                               --- Como pôde fazer isso?
How could you do that? This is just how the justice system works.                     --- É assim que a justiça funciona.
Listen, I know you don't think it right now, but this is a victory for us.            --- Sei que não acha isso agora, mas é uma vitória para nós.
Your office has certified this agreement?                                             --- O seu escritório certificou esse acordo? - Sim, Excelência...
Yes, your honor.                                                                      --- - Sr.
- Mr Reynolds?                                                                        --- Reynolds?
Any great insights to share with the court today?                                     --- Alguma grande ideia que queira compartilhar com o tribunal?
No, your honor.                                                                       --- Não, Exa. Nada.
No insights.                                                                          --- Óptimo, então poderemos prosseguir com o julgamento do Sr.
Good, then I trust that we can move forward with Mr Ames´ trial unimpeded by delays a trial date is imminent. --- Ames, a data do julgamento será em breve.
There's no cell phones in my courtroom, mr Rice.                                      --- Sem telemóveis no meu tribunal, Sr. Rice. - Já falámos sobre isso.
We've been over this.                                                                 --- - Desculpe-me. Várias e várias vezes.
- I'm sorry. I had some exigent business I was...                                     --- São urgências de um trabalho que estava...
Next time it's mine.                                                                  --- Para a próxima, ficarei com ele.
Ahh, you married?                                                                     --- - É casado? - Como?
- Excuse me? Are you married?                                                         --- Você é casado?
Please fuck this up.                                                                  --- Por favor, estrague tudo. Assim, posso acabar consigo.
I wish ill for no man but Ames deserves to suffer for what he did.                    --- Não desejo mal a ninguém, mas Ames merece sofrer pelo que fez.
I mean you cant fight faith, right?                                                   --- Não se pode lutar contra o destino, não é?
Nick.                                                                                 --- Nick. Tomada a decisão, vive com ela.
Once you make a decision, live with it.                                               --- Segue em frente.
Move on. In this job your best asset is a short memory.                               --- Nessa profissão, a melhor vantagem é a memória curta.
Don't beat yourself up, too many other people out there doing that already.           --- Não te recrimines, várias pessoas já fazem isso. Olha, alguns estão a fazê-lo agora mesmo.
Look, there's some of them right now. Isn't this when you tell me some old favel, wise tale... --- Seria o momento para falar do velho ditado.
Alright, alright.                                                                     --- Tenho um.
I got one. Marcus Aurelius had a servant walk behind him as he made his way to the roman time square. --- Marco Aurélio tinha um servo que andava atrás dele quando ia à praça romana.
And the servants only job was to whisper in his ear when people praised him:          --- E o único serviço do servo era dizer-lhe ao ouvido, quando as pessoas o elogiavam:
" You're only a man"                                                                  --- " Você é apenas um homem".
" You're only a man" Okay, man?                                                       --- " Você é apenas um homem". - Tudo bem. - Está bem.
That's some bullshit.                                                                 --- - É uma porcaria. - É uma boa história.
- That's good I don't even think you know the story, man.                             --- - Acho que nem conheces bem a história.
