You got him!                                                                          --- Apanhaste-o!
Only ever met one man I wouldn't want to fight.                                       --- Eu só conheci um homem... com quem não ia querer lutar. Não consigo parar isto.
I can't stop that. Here.                                                              --- Ainda não aprendeste a usar o cotonete!
Get out of here, you useless tit. When I met him, he was already the best cut man in the business. --- Quando eu o conheci, ele já era o melhor "homem dos cortes" do ramo.
Can you stop it?                                                                      --- Consegues parar?
Started training and managing in the´60s, but he never lost his gift.                 --- Ele começou a treinar e a ser empresário nos anos 60, mas... nunca perdeu o talento. - Não.
Let me have a look at him.                                                            --- Tenho que ver como é que ele está. Ele está bem.
He's fine. He's fine.                                                                 --- Não está, se não parar de sangrar.
Well, he ain't if you don't stop this bleeding.                                       --- Eu dou-te mais um round.
Seconds out.                                                                          --- - O tempo acabou. Vamos!
Let's go.                                                                             --- - O que é que fazemos?
What do we do?                                                                        --- Diz-me o que fazer?
Tell me what to do.                                                                   --- Deixa-o bater...
Sometimes there's just nothing you can do.                                            --- Às vezes não há nada a fazer.
Cut's too wide too close to the bone.                                                 --- O corte é muito largo, perto demais do osso.
Maybe you got a severed vein, or you just can't get the coagulant deep enough.        --- Talvez haja uma veia partida, ou talvez o coagulante não penetre o suficiente. - Manda-o abaixo!
There are all kinds of combinations you come up against down in the different layers of meat, and Frankie knew how to work every one. --- Há várias combinações nas camadas da pele. O Frank sabia como lidar com todas elas.
People love violence.                                                                 --- As pessoas adoram violência.
They slow down at a car wreck to check for bodies.                                    --- Diminuem a velocidade quando há um acidente de carro... para ver se há corpos.
Same people claim to love boxing.                                                     --- As mesmas pessoas que dizem adorar o boxe, nem sabem o que é.
They got no idea what it is.                                                          --- O negócio do boxe é o respeito.
Boxing is about respect-getting it for yourself, and taking it away from the other guy. --- Toma-o para ti mesmo, e tira-o do outro.
I'll warm up the car.                                                                 --- Vou aquecer o carro. Sr. Dunn.
Dunn? Hmm.                                                                            --- - Eu devo-te dinheiro?
I owe you money?                                                                      --- - Não, senhor.
No, sir.                                                                              --- - Eu conheço a tua mãe?
I know your mama?                                                                     --- - Não sei ao certo, senhor.
Don't rightly know, sir.                                                              --- - O que é que queres?
Then what is it you want?                                                             --- - Eu estava na outra luta.
I was on the undercard.                                                               --- Eu também ganhei o meu combate.
I won my fight, too.                                                                  --- Maggie Fitzgerald
Maggie Fitzgerald. Well, Maggie Fitzgerald, what's up?                                --- Bem, Maggie Fitzgerald, o que é que se passa?
Did you happen to see it?                                                             --- - O senhor por acaso viu? - Não.
- Nope.                                                                               --- Eu saí-me muito bem.
- I did pretty good.                                                                  --- Pensei que talvez estivesse interessado em me treinar.
Thought you might be interested in training me.                                       --- Eu não treino raparigas.
I don't train girls.                                                                  --- Talvez devesse.
Maybe you should.                                                                     --- Os que me viram lutar, dizem que eu sou forte.
People see me fight say I'm pretty tough. Girlie, tough ain't enough.                 --- Miúda... ser forte não basta.
It's a mistake.                                                                       --- É um erro.
Car should be able to back up, Frankie.                                               --- Este carro não tem marcha atrás, Frankie.
Just push, will you?                                                                  --- É só empurrar, ok? O que é que o Hogan queria?
What did Hogan want?                                                                  --- Ele ofereceu-nos uma hipótese para o título.
Offered us a title shot. -´Bout time.                                                 --- Já estava na hora.
- I turned him down flat.                                                             --- E eu recusei.
Two or three more fights, you'll be ready.                                            --- Mais dois ou três combates e estás pronto.
Been two or three more fights for a long time now, Frankie.                           --- Já estamos nesses dois ou três combates há muito tempo, Frankie.
Look, Willie, you get one shot at the title. You lose it, it may not come around again. --- Olha, Willie, tens uma hipótese de ganhar o título, se a perdes, ela pode não aparecer de novo.
Now, two or three more fights, and we'll be ready.                                    --- Mais dois ou três combates, e estaremos prontos. Você é que manda, Frankie.
Frankie liked to say that boxing is an unnatural act, that everything in boxing is backwards. --- O Frankie gostava de dizer que... o boxe é um acto não natural. Que tudo no boxe é às avessas.
Sometimes, best way to deliver a punch is step back.                                  --- A melhor maneira de dar um murro é... dar um passo atrás.
Well, do your best, Lord, to... protect Katy. Annie, too.                             --- Bem, faça o melhor, Senhor, para proteger a Katie, o Andy, também.
Other than that... you know what I want.                                              --- Quanto ao resto... o Senhor sabe o que é que eu quero, não adianta repetir-me.
There's no use me repeating myself. But step back too far you ain't fightin´ at all.  --- Mas se te afastares demais, então não estás a lutar de maneira alguma.
Thank you for your prayers.                                                           --- Obrigado pelas orações. - Adeus.
- Bye.                                                                                --- - Adeus.
- Goodbye. Hey, Father, that was a great sermon.                                      --- Padre, foi um grande sermão.
