He is coming.                                                                         --- Ele vem aí.
Cover your butt.                                                                      --- Protejam-se.
Cover the what?                                                                       --- Proteger o quê?
Vitruvius.                                                                            --- Vitruvius.
Lord Business.                                                                        --- Lorde Negócios.
You've hidden the Kragle well, old man.                                               --- Escondeste bem o Kragle, velhote.
Robots, destroy him!                                                                  --- Robôs, dêem cabo dele!
Yes, Lord Business.                                                                   --- Sim, Lorde Negócios.
Your robots are no match for a MasterBuilder.                                         --- Os teus robôs não se comparam a um Mestre Construtor.
For I see everything!                                                                 --- Porque eu vejo tudo!
Unh!                                                                                  --- 
My eyes!                                                                              --- Os meus olhos!
Ow!                                                                                   --- 
The Kragle.                                                                           --- O Kragle.
The most powerful super weapon... is mine.                                            --- A super arma mais poderosa
Oh, the Kragle!                                                                       --- O Kragle!
Now my evil power will be unlimited!                                                  --- Agora, o meu poder maléfico será ilimitado.
Can you feel me?                                                                      --- Sentem-no?
I can feel you.                                                                       --- Eu sinto-o.
Whoo! Nothing's gonna stop me now.                                                    --- Nada me vai parar.
Wait.                                                                                 --- 
There was a prophecy.                                                                 --- Existe uma profecia.
Oh, now there's a prophecy.                                                           --- Agora é que dizes isso.
About the Piece of Resistance.                                                        --- Sobre a Peça da Resistência.
Oh, yes! The supposed missing Piece of Resistance... that can somehow magically disarm the Kragle. --- A suposta Peça da Resistência perdida que pode desarmar magicamente o Kragle.
Give me a break!                                                                      --- Poupa-me!
One day, a talented lass or fellow                                                    --- Um dia, uma rapariga ou rapaz talentoso
A Special One with face of yellow  Will make the Piece of Resistance found            --- Um Escolhido de cara amarela Irá encontrar a Peça da Resistência
From its hiding refuge underground                                                    --- Escondida no seu refúgio subterrâneo
And with a noble army at the helm                                                     --- E liderando uma nobre armada
This MasterBuilder will thwart The Kragle and save the realm                          --- Este Mestre Construtor irá opor-se Ao Kragle e salvar o reino
And be the greatest Most interesting                                                  --- E será a maior A mais interessante
Most important person of all times                                                    --- A mais importante pessoa de todos os tempos
All of this is true                                                                   --- Tudo isto é verdade
Because it rhymes                                                                     --- Porque rima
Oh, wow.                                                                              --- 
That was a great, inspiring legend... that you made up.                               --- Essa foi uma lenda fantástica e inspiradora que inventaste.
