I believe in America.                                                                 --- Acredito na América.
America has made my fortune.                                                          --- A América fez a minha fortuna.
And I raised my daughter in the American fashion.                                     --- E criei a minha filha ao estilo americano.
I gave her freedom, but I taught her never to dishonor her family.                    --- Dei-lhe liberdade, mas ensinei-a a nunca desonrar a sua família.
She found a boyfriend, not an Italian.                                                --- Ela arranjou um namorado. Não é italiano.
She went to the movies with him.                                                      --- Foi ao cinema com ele.
She stayed out late.                                                                  --- Regressou tarde.
I didn't protest.                                                                     --- Não protestei.
Two months ago he took her for a drive with another boyfriend.                        --- Há 2 meses, ele levou-a a passear com outro amigo.
They made her drink whiskey and then they tried to take advantage of her.             --- Obrigaram-na beber uísque e depois tentaram aproveitar-se dela.
She resisted, she kept her honor.                                                     --- Ela resistiu... Defendeu a sua honra.
So they beat her like an animal.                                                      --- Então, bateram-lhe como a um animal.
When I went to the hospital, her nose was broken, her jaw was shattered, held together by wire. --- Quando fui ao hospital, ela tinha o nariz partido, tinha o maxilar partido, e preso por arames.
She couldn't even weep because of the pain.                                           --- Ela nem conseguia chorar por causa da dor.
But I wept.                                                                           --- Mas eu chorei.
Why did I weep?                                                                       --- Por que chorei eu?
She was the light of my life.                                                         --- Ela era a luz da minha vida.
Beautiful girl.                                                                       --- Uma rapariga linda.
Now she will never be beautiful again.                                                --- Agora nunca mais voltará a ser bonita.
Sorry.                                                                                --- Desculpe.
I went to the police, like a good American.                                           --- Fui à Polícia, como um bom americano.
These two boys were brought to trial.                                                 --- Estes dois rapazes foram julgados.
The judge sentenced them to three years in prison, but suspended the sentence.        --- O juiz condenou-os a 3 anos de prisão, que converteu em pena suspensa.
Suspended the sentence!                                                               --- Pena suspensa!
They went free that very day!                                                         --- Foram postos em liberdade nesse mesmo dia!
I stood in the courtroom like a fool. Those two bastards, they smiled at me.          --- Fiquei na sala de audiências como um tolo, e aqueles dois sacanas sorriram para mim.
Then I said to my wife," For justice, we must go to Don Corleone."                    --- Depois eu disse à minha mulher:" Para se fazer justiça, temos de ir falar com Don Corleone."
Why did you go to the police?                                                         --- Por que foste à Polícia?
Why didn't you come to me first?                                                      --- Por que não vieste logo falar comigo?
What do you want of me?                                                               --- Que quer de mim?
Tell me anything, but do what I beg you to do.                                        --- Peça-me tudo, mas faça o que lhe suplico para fazer.
What is that?                                                                         --- Que é que me pedes?
I want them dead.                                                                     --- Quero-os mortos.
That I cannot do.                                                                     --- Não posso fazer isso.
I' ll give you anything you ask.                                                      --- Dar-lhe-ei tudo o que pedir.
I' ve known you many years, but this is the first time you've asked for help.         --- Conhecemo-nos há muitos anos, mas é a primeira vez que vens pedir-me conselhos ou ajuda.
I can't remember the last time you invited me for a cup of coffee. Even though my wife is godmother to your only child. --- Não me lembro da última vez que me convidaste para a tua casa, para beber um café, embora a minha mulher seja madrinha da tua única filha.
But let's be Frank here.                                                              --- Mas vamos ser francos.
You never wanted my friendship.                                                       --- Nunca quiseste a minha amizade.
And you were afraid to be in my debt.                                                 --- E... temias ficar em dívida para comigo.
I didn't want to get into trouble.                                                    --- Não queria meter-me em sarilhos.
I understand.                                                                         --- Eu entendo.
You found Paradise in America.                                                        --- Encontraste o Paraíso na América.
You made a good living, had police protection and there were courts of law.           --- Tinhas um bom negócio, vivias bem, a Polícia protegia-te e havia tribunais.
You didn't need a friend like me.                                                     --- Não precisavas de um amigo como eu.
But now you come to me and say,                                                       --- Mas, agora vens ter comigo e dizes:
" Don Corleone, give me justice."                                                     --- " Don Corleone, faça justiça."
But you don't ask with respect.                                                       --- Mas não pedes com respeito.
You don't offer friendship.                                                           --- Não ofereces amizade.
You don't even think to call me Godfather.                                            --- Nem sequer pensas em chamar-me Padrinho.
You come on my daughter's wedding day and ask me to murder for money.                 --- Em vez disso, vens a minha casa no dia do casamento da minha filha e pedes-me para cometer um homicídio por dinheiro.
I ask you for justice.                                                                --- Peço-lhe justiça.
That is not justice.                                                                  --- Isso não é justiça.
Your daughter is alive.                                                               --- A tua filha ainda está viva.
Let them suffer, then, as she suffers.                                                --- Então, eles que sofram como ela sofreu.
How much shall I pay you?                                                             --- Quanto lhe devo pagar?
Bonasera, Bonasera.                                                                   --- Bonasera, Bonasera.
What have I ever done to make you treat me so disrespectfully?                        --- Que te fiz eu para me tratares com tanta falta de respeito?
If you'd come in friendship, the scum that ruined your daughter would be suffering this very day. --- Se viesses falar comigo com amizade, a escumalha que deu cabo da tua filha sofreria hoje mesmo.
And if an honest man like you should make enemies, they'd be my enemies.              --- E se por acaso um homem honesto como tu fizer inimigos, então eles tornar-se-ão meus inimigos.
And then they would fear you.                                                         --- E nessa altura irão temer-te.
Be my friend?                                                                         --- Seja meu amigo...
Godfather?                                                                            --- ... Padrinho!
Good.                                                                                 --- Óptimo.
Some day, and that day may never come, I' ll ask a service of you.                    --- Um dia, e talvez esse dia nunca chegue, chamar-te-ei para me prestares um serviço.
But until that day accept this justice as a gift on my daughter's wedding day.        --- Mas, até lá, aceita esta justiça como uma dádiva, no dia do casamento da minha filha.
- Gràzie, Godfather.                                                                  --- - Obrigado, Padrinho.
- Prego.                                                                              --- - De nada.
Give this to Clemenza.                                                                --- Entrega isto ao Clemenza.
I want people that aren't going to get carried away.                                  --- Quero gente de confiança, gente que não se deixe levar.
We're not murderers, in spite of what this undertaker says.                           --- Não somos assassinos, apesar do que diz este cangalheiro.
- Where's Michael?                                                                    --- - Onde está o Michael?
- Don't worry, he'll be here.                                                         --- - Não se preocupe, ele virá.
We're not taking the picture without Michael.                                         --- Não vamos tirar a fotografia sem o Michael.
- What's the matter?                                                                  --- - Que se passa?
- It's Michael.                                                                       --- - É o Michael...
Don Barzini.                                                                          --- Don Barzini.
Hey, Paulie!                                                                          --- Paulie!
Let me have some wine.                                                                --- Quero beber um pouco de vinho!
Paulie!                                                                               --- Paulie!
More wine.                                                                            --- Mais vinho.
- You look terrific on the floor.                                                     --- - Dança muito bem.
